Movement,Island_Type,Island,Distance,Item,Sentence,Subj_id,Score
WH,whe,isl,lg,8,What does the guest wonder whether Casey baked?,13,2
WH,whe,non,sh,1,Who thinks that Paul stole the necklace?,14,2
WH,whe,non,sh,2,Who thinks that Matt chased the bus?,14,7
WH,whe,non,sh,3,Who thinks that Tom sold the television?,14,2
WH,whe,non,sh,4,Who thinks that Stacey wrote the letter?,14,7
WH,whe,non,sh,5,Who thinks that Aaron bought the house?,14,5
WH,whe,non,sh,6,Who thinks that George read the book?,14,4
WH,whe,non,sh,7,Who thinks that Heather saw the movie?,14,2
WH,whe,non,sh,8,Who thinks that Casey baked the cake?,14,7
WH,whe,isl,sh,1,Who wonders whether Paul stole the necklace?,14,5
WH,whe,isl,sh,2,Who wonders whether Matt chased the bus?,14,5
WH,whe,isl,sh,3,Who wonders whether Tom sold the television?,14,4
WH,whe,isl,sh,4,Who wonders whether Stacey wrote the letter?,14,3
WH,whe,isl,sh,5,Who wonders whether Aaron bought the house?,14,4
WH,whe,isl,sh,6,Who wonders whether George read the book?,14,5
WH,whe,isl,sh,7,Who wonders whether Heather saw the movie?,14,4
WH,whe,isl,sh,8,Who wonders whether Casey baked the cake?,14,5
WH,whe,non,lg,1,What does the detective think that Paul stole?,14,5
WH,whe,non,lg,2,What does the police officer think that Matt chased?,14,7
WH,whe,non,lg,3,What does the manager think that Tom sold?,14,3
WH,whe,non,lg,4,What does the soldier think that Stacey wrote?,14,7
WH,whe,non,lg,5,What does the agent think that Aaron bought?,14,5
WH,whe,non,lg,6,What does the teacher think that George read?,14,5
WH,whe,non,lg,7,What does the girl think that Heather saw?,14,4
WH,whe,non,lg,8,What does the guest think that Casey baked?,14,2
WH,whe,isl,lg,1,What does the detective wonder whether Paul stole?,14,3
WH,whe,isl,lg,2,What does the police officer wonder whether Matt chased?,14,2
WH,whe,isl,lg,3,What does the manager wonder whether Tom sold?,14,1
WH,whe,isl,lg,4,What does the soldier wonder whether Stacey wrote?,14,3
WH,whe,isl,lg,5,What does the agent wonder whether Aaron bought?,14,4
WH,whe,isl,lg,6,What does the teacher wonder whether George read?,14,4
WH,whe,isl,lg,7,What does the girl wonder whether Heather saw?,14,3
WH,whe,isl,lg,8,What does the guest wonder whether Casey baked?,14,4
WH,whe,non,sh,1,Who thinks that Paul stole the necklace?,15,5
WH,whe,non,sh,2,Who thinks that Matt chased the bus?,15,7
WH,whe,non,sh,3,Who thinks that Tom sold the television?,15,6
WH,whe,non,sh,4,Who thinks that Stacey wrote the letter?,15,7
WH,whe,non,sh,5,Who thinks that Aaron bought the house?,15,5
WH,whe,non,sh,6,Who thinks that George read the book?,15,4
WH,whe,non,sh,7,Who thinks that Heather saw the movie?,15,3
WH,whe,non,sh,8,Who thinks that Casey baked the cake?,15,4
WH,whe,isl,sh,1,Who wonders whether Paul stole the necklace?,15,2
WH,whe,isl,sh,2,Who wonders whether Matt chased the bus?,15,5
WH,whe,isl,sh,3,Who wonders whether Tom sold the television?,15,2
WH,whe,isl,sh,4,Who wonders whether Stacey wrote the letter?,15,2
WH,whe,isl,sh,5,Who wonders whether Aaron bought the house?,15,3
WH,whe,isl,sh,6,Who wonders whether George read the book?,15,5
WH,whe,isl,sh,7,Who wonders whether Heather saw the movie?,15,2
WH,whe,isl,sh,8,Who wonders whether Casey baked the cake?,15,2
WH,whe,non,lg,1,What does the detective think that Paul stole?,15,5
WH,whe,non,lg,2,What does the police officer think that Matt chased?,15,2
WH,whe,non,lg,3,What does the manager think that Tom sold?,15,5
WH,whe,non,lg,4,What does the soldier think that Stacey wrote?,15,2
WH,whe,non,lg,5,What does the agent think that Aaron bought?,15,3
WH,whe,non,lg,6,What does the teacher think that George read?,15,2
WH,whe,non,lg,7,What does the girl think that Heather saw?,15,7
WH,whe,non,lg,8,What does the guest think that Casey baked?,15,4
WH,whe,isl,lg,1,What does the detective wonder whether Paul stole?,15,1
WH,whe,isl,lg,2,What does the police officer wonder whether Matt chased?,15,4
WH,whe,isl,lg,3,What does the manager wonder whether Tom sold?,15,1
WH,whe,isl,lg,4,What does the soldier wonder whether Stacey wrote?,15,3
WH,whe,isl,lg,5,What does the agent wonder whether Aaron bought?,15,1
WH,whe,isl,lg,6,What does the teacher wonder whether George read?,15,1
WH,whe,isl,lg,7,What does the girl wonder whether Heather saw?,15,3
WH,whe,isl,lg,8,What does the guest wonder whether Casey baked?,15,3
WH,whe,non,sh,1,Who thinks that Paul stole the necklace?,16,7
WH,whe,non,sh,2,Who thinks that Matt chased the bus?,16,5
WH,whe,non,sh,3,Who thinks that Tom sold the television?,16,6
WH,whe,non,sh,4,Who thinks that Stacey wrote the letter?,16,4
WH,whe,non,sh,5,Who thinks that Aaron bought the house?,16,3
WH,whe,non,sh,6,Who thinks that George read the book?,16,4
WH,whe,non,sh,7,Who thinks that Heather saw the movie?,16,2
WH,whe,non,sh,8,Who thinks that Casey baked the cake?,16,7
WH,whe,isl,sh,1,Who wonders whether Paul stole the necklace?,16,3
WH,whe,isl,sh,2,Who wonders whether Matt chased the bus?,16,2
WH,whe,isl,sh,3,Who wonders whether Tom sold the television?,16,5
WH,whe,isl,sh,4,Who wonders whether Stacey wrote the letter?,16,4
WH,whe,isl,sh,5,Who wonders whether Aaron bought the house?,16,3
WH,whe,isl,sh,6,Who wonders whether George read the book?,16,5
WH,whe,isl,sh,7,Who wonders whether Heather saw the movie?,16,5
WH,whe,isl,sh,8,Who wonders whether Casey baked the cake?,16,4
WH,whe,non,lg,1,What does the detective think that Paul stole?,16,5
WH,whe,non,lg,2,What does the police officer think that Matt chased?,16,3
WH,whe,non,lg,3,What does the manager think that Tom sold?,16,4
WH,whe,non,lg,4,What does the soldier think that Stacey wrote?,16,6
WH,whe,non,lg,5,What does the agent think that Aaron bought?,16,1
WH,whe,non,lg,6,What does the teacher think that George read?,16,7
WH,whe,non,lg,7,What does the girl think that Heather saw?,16,2
WH,whe,non,lg,8,What does the guest think that Casey baked?,16,6
WH,whe,isl,lg,1,What does the detective wonder whether Paul stole?,16,2
WH,whe,isl,lg,2,What does the police officer wonder whether Matt chased?,16,1
WH,whe,isl,lg,3,What does the manager wonder whether Tom sold?,16,2
WH,whe,isl,lg,4,What does the soldier wonder whether Stacey wrote?,16,3
WH,whe,isl,lg,5,What does the agent wonder whether Aaron bought?,16,4
WH,whe,isl,lg,6,What does the teacher wonder whether George read?,16,1
WH,whe,isl,lg,7,What does the girl wonder whether Heather saw?,16,1
WH,whe,isl,lg,8,What does the guest wonder whether Casey baked?,16,3
